DOI;first_author;year;species;life_stage;exposure_route;exposure_media;media_ph;media_temp_mean;media_temp_min;media_temp_max;exposure_duration_days;exposure_duration_effectsize_days;recovery_duration;nominal_dose_mass;nominal_dose_mass_units;nominal_dose_altern_category;nominal_dose_altern_type;nominal_dose_altern_type_units;measured_dose_mass;measured_dose_mass_units;measured_dose_altern_category;measured_dose_altern_type;measured_dose_altern_type_units;chem_added;nominal_chem_dose;nominal_chem_dose_units;chem_contamination_screened_y_n;background_cont_check_y_n;uptake_validated_y_n;uptake_validation_method;organisms_fed_y_n;food_dose;food_dose_unit;food_type;experiment_comment;endpoint;c_n_replicates;c_ind_per_replicate;c_n_individuals;c_mean;c_SD;c_SE;c_unit;t_n_replicates;t_ind_per_replicate;t_n_individuals;t_mean;t_SD;t_SE;t_unit;data_comment;manufacturer;neonic
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;7;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Reactive Oxygen Species Production;3;NA;NA;1074.626866;29.85074627;17.23433639;fluorescence/mg_protein;3;NA;NA;1477.61194;0;0;fluorescence/mg_protein;metaDigitise fig. 1a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;14;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Reactive Oxygen Species Production;3;NA;NA;1507.462687;7.462686567;4.308584098;fluorescence/mg_protein;3;NA;NA;1880.597015;44.7761194;25.85150459;fluorescence/mg_protein;metaDigitise fig. 1a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;21;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Reactive Oxygen Species Production;3;NA;NA;1492.537313;29.85074627;17.23433639;fluorescence/mg_protein;3;NA;NA;1820.895522;22.3880597;12.9257523;fluorescence/mg_protein;metaDigitise fig. 1a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;28;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Reactive Oxygen Species Production;3;NA;NA;1798.507463;29.85074627;17.23433639;fluorescence/mg_protein;3;NA;NA;2298.507463;37.31343284;21.54292049;fluorescence/mg_protein;metaDigitise fig. 1a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;7;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Superoxide Dismutase Activity;3;NA;NA;3.881932021;0.062611807;0.036148944;U/mg_protein;3;NA;NA;3.731663685;0.012522361;0.007229789;U/mg_protein;metaDigitise fig. 2a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;14;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Superoxide Dismutase Activity;3;NA;NA;4.720930233;0.025044723;0.014459577;U/mg_protein;3;NA;NA;3.969588551;0.037567084;0.021689366;U/mg_protein;metaDigitise fig. 2a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;21;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Superoxide Dismutase Activity;3;NA;NA;3.831842576;0.012522361;0.007229789;U/mg_protein;3;NA;NA;3.694096601;0.012522361;0.007229789;U/mg_protein;metaDigitise fig. 2a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;28;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Superoxide Dismutase Activity;3;NA;NA;5.059033989;0.012522361;0.007229789;U/mg_protein;3;NA;NA;4.858676208;0.012522361;0.007229789;U/mg_protein;metaDigitise fig. 2a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;7;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Catalase Activity;3;NA;NA;3.044596913;0.085763293;0.04951546;U/mg_protein;3;NA;NA;1.912521441;0.094339623;0.054467007;U/mg_protein;metaDigitise fig. 2b;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;14;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Catalase Activity;3;NA;NA;3.447684391;0.034305317;0.019806184;U/mg_protein;3;NA;NA;2.547169811;0.060034305;0.034660822;U/mg_protein;metaDigitise fig. 2b;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;21;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Catalase Activity;3;NA;NA;2.855917667;0.051457976;0.029709276;U/mg_protein;3;NA;NA;2.487135506;0.068610635;0.039612368;U/mg_protein;metaDigitise fig. 2b;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;28;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Catalase Activity;3;NA;NA;4.511149228;0.034305317;0.019806184;U/mg_protein;3;NA;NA;4.296740995;0.008576329;0.004951546;U/mg_protein;metaDigitise fig. 2b;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;7;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Malondialdehyde Concentration;3;NA;NA;1.056603774;0.018867925;0.010893401;nmol/ml_homogenate;3;NA;NA;0.60754717;0.033962264;0.019608122;nmol/ml_homogenate;metaDigitise fig. 4a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;14;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Malondialdehyde Concentration;3;NA;NA;0.867924528;0.075471698;0.043573605;nmol/ml_homogenate;3;NA;NA;1.305660377;0.018867925;0.010893401;nmol/ml_homogenate;metaDigitise fig. 4a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;21;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Malondialdehyde Concentration;3;NA;NA;1.396226415;0.101886792;0.058824367;nmol/ml_homogenate;3;NA;NA;1.166037736;0.075471698;0.043573605;nmol/ml_homogenate;metaDigitise fig. 4a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;28;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Malondialdehyde Concentration;3;NA;NA;1.377358491;0.018867925;0.010893401;nmol/ml_homogenate;3;NA;NA;0.860377358;0.037735849;0.021786803;nmol/ml_homogenate;metaDigitise fig. 4a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;7;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;sod mRNA expression;3;NA;NA;1;0.029166667;0.016839383;fold_change;3;NA;NA;2.3625;0.133333333;0.076980036;fold_change;metaDigitise fig. 5a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;14;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;sod mRNA expression;3;NA;NA;1;0.05;0.028867513;fold_change;3;NA;NA;1.120833333;0.079166667;0.045706896;fold_change;metaDigitise fig. 5a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;21;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;sod mRNA expression;3;NA;NA;1;0.108333333;0.062546279;fold_change;3;NA;NA;0.4875;0.0375;0.021650635;fold_change;metaDigitise fig. 5a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;28;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;sod mRNA expression;3;NA;NA;1;0.05;0.028867513;fold_change;3;NA;NA;0.4875;0.029166667;0.016839383;fold_change;metaDigitise fig. 5a;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;7;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Catalase mRNA expression;3;NA;NA;1;0.005119454;0.002955718;fold_change;3;NA;NA;2.457337884;0.158703072;0.091627261;fold_change;metaDigitise fig. 5b;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;14;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Catalase mRNA expression;3;NA;NA;1;0.035836177;0.020690027;fold_change;3;NA;NA;0.870307167;0.040955631;0.023645745;fold_change;metaDigitise fig. 5b;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;21;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Catalase mRNA expression;3;NA;NA;1;0.035836177;0.020690027;fold_change;3;NA;NA;0.511945392;0.010238908;0.005911436;fold_change;metaDigitise fig. 5b;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;28;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Catalase mRNA expression;3;NA;NA;1;0.056313993;0.032512899;fold_change;3;NA;NA;0.982935154;0.153583618;0.088671543;fold_change;metaDigitise fig. 5b;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;7;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Peroxidase Activity;3;NA;NA;3.72270364;0.010398614;0.006003642;U/mg_protein;3;NA;NA;3.686076121;0.009381989;0.005416694;U/mg_protein;metaDigitise fig. 2c;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;14;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Peroxidase Activity;3;NA;NA;2.926134988;0.009381989;0.005416694;U/mg_protein;3;NA;NA;2.77602316;0;0;U/mg_protein;metaDigitise fig. 2c;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;21;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Peroxidase Activity;3;NA;NA;3.592256228;0.018763979;0.010833388;U/mg_protein;3;NA;NA;3.714222089;0.018763979;0.010833388;U/mg_protein;metaDigitise fig. 2c;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;28;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Peroxidase Activity;3;NA;NA;2.034846006;0.018763979;0.010833388;U/mg_protein;3;NA;NA;1.809678263;0.028145968;0.016250082;U/mg_protein;metaDigitise fig. 2c;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;7;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;8-OHdG Concentration;3;NA;NA;1.969512195;0.006097561;0.003520428;ng/l;3;NA;NA;2.256097561;0.018292683;0.010561285;ng/l;metaDigitise fig. 4b;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;14;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;8-OHdG Concentration;3;NA;NA;1.87804878;0.067073171;0.038724713;ng/l;3;NA;NA;2;0.006097561;0.003520428;ng/l;metaDigitise fig. 4b;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;21;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;8-OHdG Concentration;3;NA;NA;1.701219512;0.024390244;0.014081714;ng/l;3;NA;NA;1.768292683;0.012195122;0.007040857;ng/l;metaDigitise fig. 4b;Aladdin Co., Ltd.;Imidacloprid
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;28;0;0.37;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;8-OHdG Concentration;3;NA;NA;1.609756098;0.024390244;0.014081714;ng/l;3;NA;NA;2.176829268;0.036585366;0.021122571;ng/l;metaDigitise fig. 4b;Aladdin Co., Ltd.;Imidacloprid
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;7;0;1.5;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;39.35860058;2.272369864;1.311953353;U/mg_protein;3;3;9;48.97959184;4.166011418;2.405247813;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;7;0;3;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;39.35860058;2.272369864;1.311953353;U/mg_protein;3;3;9;40.45189504;3.787283107;2.186588921;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;7;0;6;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;39.35860058;2.272369864;1.311953353;U/mg_protein;3;3;9;43.51311953;7.195837903;4.15451895;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;7;0;12;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;39.35860058;2.272369864;1.311953353;U/mg_protein;3;3;9;76.31195335;1.893641553;1.093294461;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;7;0;24;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;39.35860058;2.272369864;1.311953353;U/mg_protein;3;3;9;79.37317784;1.893641553;1.093294461;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;14;0;1.5;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;35.20408163;1.514913243;0.874635569;U/mg_protein;3;3;9;37.39067055;3.408554796;1.967930029;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;14;0;3;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;35.20408163;1.514913243;0.874635569;U/mg_protein;3;3;9;44.82507289;1.893641553;1.093294461;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;14;0;6;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;35.20408163;1.514913243;0.874635569;U/mg_protein;3;3;9;47.01166181;3.787283107;2.186588921;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;14;0;12;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;35.20408163;1.514913243;0.874635569;U/mg_protein;3;3;9;85.49562682;9.468207767;5.466472303;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;14;0;24;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;35.20408163;1.514913243;0.874635569;U/mg_protein;3;3;9;106.0495627;6.438381282;3.717201166;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;21;0;1.5;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;29.30029155;7.953294525;4.591836735;U/mg_protein;3;3;9;29.73760933;2.272369864;1.311953353;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;21;0;3;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;29.30029155;7.953294525;4.591836735;U/mg_protein;3;3;9;68.65889213;9.468207767;5.466472303;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;21;0;6;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;29.30029155;7.953294525;4.591836735;U/mg_protein;3;3;9;74.12536443;3.787283107;2.186588921;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;21;0;12;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;29.30029155;7.953294525;4.591836735;U/mg_protein;3;3;9;87.24489796;1.514913243;0.874635569;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;28;0;1.5;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;27.55102041;3.408554796;1.967930029;U/mg_protein;3;3;9;32.14285714;1.893641553;1.093294461;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;28;0;3;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;27.55102041;3.408554796;1.967930029;U/mg_protein;3;3;9;60.78717201;6.059652971;3.498542274;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;28;0;6;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;27.55102041;3.408554796;1.967930029;U/mg_protein;3;3;9;91.6180758;7.953294525;4.591836735;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;28;0;12;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Superoxide Dismutase Activity;3;3;9;27.55102041;3.408554796;1.967930029;U/mg_protein;3;3;9;94.89795918;6.438381282;3.717201166;U/mg_protein;metaDigitise fig. 2a;NA;Clothianidin
10.1007/s13762-022-04092-0;Chowdhary;2023;Eisenia fetida;adult;sediment;OECD soil;6;NA;NA;NA;28;7;0;1.5;mg/kg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;NA;NA;NA;soil:10% coco peat, 20% kaolinite clay, 70% quartz;Catalase Activity;3;3;9;0.019802731;0.003153962;0.001820941;U/mg_protein;3;3;9;0.030273141;0.003153962;0.001820941;U/mg_protein;metaDigitise fig. 2b;NA;Clothianidin
